name,symbol,lot_size
ADANI ENERGY SOLUTION LTD,ADANIENSOL.NS,675
INOX WIND LIMITED,INOXWIND.NS,6400
Swiggy Limited,SWIGGY.NS,1825
Waaree Energies Limited,WAAREEENER.NS,175
Bajaj Holdings,BAJAJHLDNG.NS,75
Premier Energies Limited,PREMIERENE.NS,650
011NSETEST,011NSETEST.NS,50
021NSETEST,021NSETEST.NS,50
031NSETEST,031NSETEST.NS,50
041NSETEST,041NSETEST.NS,50
051NSETEST,051NSETEST.NS,50
061NSETEST,061NSETEST.NS,50
071NSETEST,071NSETEST.NS,50
081NSETEST,081NSETEST.NS,50
091NSETEST,091NSETEST.NS,50
101NSETEST,101NSETEST.NS,50
111NSETEST,111NSETEST.NS,50
121NSETEST,121NSETEST.NS,50
131NSETEST,131NSETEST.NS,50
141NSETEST,141NSETEST.NS,50
151NSETEST,151NSETEST.NS,50
161NSETEST,161NSETEST.NS,50
171NSETEST,171NSETEST.NS,50
181NSETEST,181NSETEST.NS,50
ADANI POWER LTD,ADANIPOWER.NS,3550
COCHIN SHIPYARD LIMITED,COCHINSHIP.NS,400
FORCE MOTORS LIMITED,FORCEMOT.NS,25
GODFREY PHILLIPS INDIA LT,GODFRYPHLP.NS,275
GE VERNOVA T&D INDIA LTD,GVT&D.NS,125
HYUNDAI MOTOR INDIA LTD,HYUNDAI.NS,275
LTM LIMITED,LTM.NS,150
MOTILAL OSWAL FIN LTD,MOTILALOFS.NS,775
NIPPON L I A M LTD,NAM-INDIA.NS,625
HITACHI ENERGY INDIA LTD,POWERINDIA.NS,25
RADICO KHAITAN LTD,RADICO.NS,150
VISHAL MEGA MART LIMITED,VMM.NS,4850
